Ticker,NCTId,ResultsFirstPostDate,CompletionDate,BuyPrice,SellPrice,PercentDiff
ALNY,NCT03905694,"July 19, 2021","August 19, 2024",178.11,182.10,0.55
ALNY,NCT03759379,"August 11, 2022",October 2026,231.01,223.13,-0.87
ALNY,NCT03997383,"October 18, 2023",March 2027,165.08,161.79,-0.50
ALNY,NCT02319005,"July 18, 2018","March 30, 2017",105.37,105.93,0.13
ALNY,NCT03672188,"December 13, 2021","September 3, 2020",198.29,187.38,-1.41
CYTO,NCT01864174,"July 21, 2017","June 1, 2016",55520.00,55120.00,-0.18
CYTO,NCT01975376,"June 12, 2018","March 22, 2017",9440.00,9200.00,-0.64
CYTO,NCT01975389,"June 12, 2018","April 3, 2017",9440.00,9200.00,-0.64
ALT,NCT04442230,"April 4, 2022","February 15, 2021",5.74,5.50,-1.07
ALT,NCT03232567,"April 11, 2019","June 15, 2018",3.00,2.82,-1.55
AMGN,NCT01473420,"June 20, 2018","February 28, 2014",156.66,155.52,-0.18
AMGN,NCT01290263,"May 25, 2017",January 2017,126.70,129.89,0.62
AMGN,NCT00117143,"December 20, 2019","July 19, 2004",213.26,212.26,-0.12
AMGN,NCT02412306,"January 10, 2020","July 4, 2019",208.49,206.25,-0.27
AMGN,NCT02352753,"December 28, 2022","March 26, 2022",250.70,251.87,0.12
AMGN,NCT00261950,"December 4, 2013",May 2011,85.26,86.05,0.23
AMGN,NCT01327612,"February 21, 2021","February 5, 2020",210.28,208.93,-0.16
AMGN,NCT00838201,"September 24, 2013","May 3, 2012",84.46,85.00,0.16
AMGN,NCT00110890,"March 7, 2011",September 2007,38.47,37.88,-0.39
AMGN,NCT00614523,"August 13, 2013","November 30, 2015",80.08,78.78,-0.41
AMGN,NCT01405963,"October 17, 2022","April 5, 2013",248.89,253.98,0.51
AMGN,NCT02279173,"August 28, 2019","August 8, 2019",180.89,181.85,0.13
AMGN,NCT00508820,"February 13, 2012","March 1, 2011",48.94,48.73,-0.11
AMGN,NCT02114931,"April 24, 2017",April 2016,131.76,132.74,0.19
AMGN,NCT02637141,"December 3, 2019","March 14, 2017",205.23,205.13,-0.01
AMGN,NCT02633020,"December 27, 2019","May 2, 2017",210.83,210.69,-0.02
AMGN,NCT01221727,"November 7, 2013",July 2011,84.98,85.61,0.18
AMGN,NCT01101061,"July 31, 2019","November 1, 2010",161.50,162.05,0.09
AMGN,NCT01059448,"February 28, 2022","April 5, 2011",219.74,217.02,-0.31
AMGN,NCT00418665,"December 22, 2010",October 2010,40.87,40.62,-0.15
AMGN,NCT00377819,"August 3, 2010",July 2008,40.08,40.21,0.08
AMGN,NCT00330460,"July 19, 2010",January 2008,38.58,38.65,0.04
AMGN,NCT00283439,"September 13, 2010",September 2008,40.21,40.45,0.15
AMGN,NCT00104650,"January 7, 2011",March 2010,41.18,41.20,0.01
AMGN,NCT00091793,"January 26, 2010",March 2009,41.51,42.04,0.32
AMGN,NCT00042432,"March 1, 2011",August 2003,36.94,37.61,0.45
AMGN,NCT02509507,"December 30, 2022","July 11, 2023",250.92,255.92,0.49
AMGN,NCT03757130,"September 14, 2023","December 16, 2019",259.07,267.25,0.78
AMGN,NCT00141921,"February 10, 2017","August 16, 2017",140.30,141.00,0.13
AMGN,NCT02542605,"June 3, 2019","November 8, 2017",151.98,151.99,0.00
AMGN,NCT02506868,"May 30, 2019","December 21, 2017",149.19,151.08,0.32
AMGN,NCT00089635,"December 5, 2013","August 1, 2008",85.95,85.24,-0.20
AMGN,NCT00094835,"March 24, 2014",March 2007,93.48,95.48,0.53
AMGN,NCT00113763,"January 3, 2014","June 1, 2009",94.69,93.59,-0.29
AMGN,NCT02291614,"February 24, 2021","January 9, 2018",208.93,204.33,-0.56
AMGN,NCT01294397,"June 20, 2017",January 2016,139.85,140.79,0.17
AMGN,NCT01199302,"December 28, 2021","October 18, 2011",211.59,209.14,-0.29
AMGN,NCT00293813,"January 27, 2010",August 2008,41.51,42.04,0.32
AMGN,NCT00896454,"January 1, 2015","August 21, 2013",121.44,121.63,0.04
AMGN,NCT00339183,"May 6, 2014","November 1, 2010",85.47,84.49,-0.29
AMGN,NCT00115765,"September 14, 2010","May 1, 2009",39.75,39.70,-0.04
AMGN,NCT01652690,"May 26, 2016","May 15, 2015",125.61,126.51,0.18
AMGN,NCT00436748,"March 31, 2015","March 3, 2014",123.52,120.45,-0.63
AMGN,NCT00907478,"January 1, 2015","January 14, 2014",121.44,121.63,0.04
AMGN,NCT01920568,"August 25, 2016",April 2016,137.10,135.94,-0.21
AMGN,NCT05327491,"December 14, 2023","July 17, 2022",273.34,273.05,-0.03
AMGN,NCT05073315,"February 9, 2024","December 19, 2022",283.51,285.18,0.15
AMGN,NCT05048784,"September 18, 2023","February 18, 2022",262.72,264.81,0.20
AMGN,NCT05045638,"August 14, 2023","October 10, 2021",256.66,253.37,-0.32
AMGN,NCT04761627,"January 11, 2024","February 28, 2023",301.72,305.42,0.30
AMGN,NCT04607980,"December 15, 2023","June 3, 2022",281.70,286.22,0.40
AMGN,NCT04303780,"May 10, 2023","April 27, 2026",226.49,225.37,-0.12
AMGN,NCT04270760,"August 23, 2023","November 8, 2022",253.37,252.41,-0.10
AMGN,NCT04270747,"January 5, 2024","January 30, 2023",301.13,302.13,0.08
AMGN,NCT04260191,"January 25, 2024","June 2, 2022",311.02,311.82,0.06
